sampleid	sampleid	sample_type	Nest_id	Larvae_size	Cell_ID	Negative_control	Description_of_sample	Env_exposure	AB_treatment	Year	Sample	AVG_CTscore	logDNA	Gender											
EW-192	192	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-193	193	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-194	194	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-195	195	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-196	196	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-197	197	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-198	198	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-199	199	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-200	200	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-201	201	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-202	202	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-203	203	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-204	204	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-205	205	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023		NA	NA	NA											
EW-179	179	Honey_bee	NA	NA	NA	FALSE	Honey bee	NA	NA	2023	189	13.737	6.737244119	NA											
EW-180	180	Honey_bee	NA	NA	NA	FALSE	Honey bee	NA	NA	2023	190	12.908	6.990528567	NA											
EW-EBC11	EBC11	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022		NA	NA	NA											
EW-92	92	Adults	NA	NA	NA	FALSE	Adults	Nest_only	NA	2022		NA	NA	Female											
EW-EBC13	EBC13	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2023		NA	NA	NA											
EW-EBC14	EBC14	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2023		NA	NA	NA											
EW-184	184	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023	194	29.239	2.00091659	NA											
EW-EBC16	EBC16	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2023		NA	NA	NA											
EW-EBC17	EBC17	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2023		NA	NA	NA											
EW-185	185	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023	195	22.185	4.156125878	NA											
EW-EBC2	EBC2	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022		NA	NA	NA											
EW-EBC3	EBC3	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022		NA	NA	NA											
EW-EBC4	EBC4	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022		NA	NA	NA											
EW-EBC5	EBC5	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022		NA	NA	NA											
EW-189	189	Primary_isolate	NA	NA	NA	FALSE	Primary_isolate	NA	NA	2023	199	34.691	0.3351665139	NA											
EW-EBC7	EBC7	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022		NA	NA	NA											
EW-EBC8	EBC8	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022		NA	NA	NA											
EW-EBC9	EBC9	Negative_control	NA	NA	NA	TRUE	EBC	NA	NA	2022		NA	NA	NA
